id,name
product_color_1,"CRUDO"
product_color_2,"PPT"
product_color_3,"BLANCO"
product_color_4,"COLORES"
product_color_5,"COLORES 2 FIBRAS"
product_color_6,"CLAROS ESPECIALES"
product_color_7,"MELANGE"
product_color_8,"MEDIOS PASTELES"
product_color_9,"ESPECIALES"
product_color_10,"ESPECIALES 2 FIBRAS"
product_color_11,"COLORES MANCHADO LYCRA"
