id,name,operation_type
mrp_wc_1,"Tejeduría",weaving
mrp_wc_2,"Tintorería",dyeing
mrp_wc_3,"Estampado",printing
mrp_wc_4,"Acabados",finishing
mrp_wc_5,"Calidad",quality
